title,release_date,genre,director
I Believe in Miracles,2015-10-13,Documentary,
The Girl in the Book,2015-06-13,Drama,
La Vague,1891-11-15,Documentary,
A Hand Shake,1892-01-01,,
Angels of Revolution,2014-11-05,Romance,
Mojave,2015-04-18,Thriller,
Steak (R)évolution,2014-11-05,Family,
Visitors of the Night,1995-11-26,Science Fiction,
Motorcycle Gang,1994-09-25,,
Red Wine,2013-03-22,Crime,
China Heavyweight,2012-07-06,Documentary,
Yalom's Cure,2014-05-20,Documentary,
Psalm 21,2009-01-01,Horror,
Tumbledown,2015-04-18,Music,
9-Man,2014-04-27,Documentary,
La Sfida,1958-09-06,,
Many Wars Ago,1970-09-16,Drama,
Chronicle of a Death Foretold,1987-05-07,Crime,
The Palermo Connection,1990-02-01,Thriller,
Mortacci,1989-04-25,,
Il minestrone,1981-12-30,Comedy,
Bawdy Tales,1973-01-01,Drama,
Ostia,1970-03-11,,
Beneath Loch Ness,2002-01-01,Action,
Atomic Train,1999-05-16,Action,
The Dream Is Alive,1985-06-01,Documentary,
Evil Alien Conquerors,2003-12-03,Comedy,
A Kid in Aladdin's Palace,1998-01-01,Family,
The Education Of Shelby Knox,2005-06-21,Documentary,
The Girl on the Stone,2007-07-27,Drama,
Spy School,2008-01-01,Action,
Wizards of Waverly Place: The Movie,2009-08-28,Adventure,
China Dolls,1992-01-01,Crime,
Second Skin,2009-03-07,Documentary,
Under the Electric Sky,2014-05-29,Documentary,
The Pit,2009-10-22,Documentary,
One Six Right,2005-11-25,Documentary,
The Hunchedback Horse,1947-01-10,Adventure,
Folies Bergère,2014-03-08,Comedy,
Friends from France,2013-11-27,Drama,
Fatherland,1986-09-02,Drama,
Ginger & Cinnamon,2003-04-04,Drama,
Be Seeing You,1968-03-01,Documentary,
10%: What Makes a Hero?,2013-07-16,Adventure,
100 Ghost Street: The Return of Richard Speck,2012-07-24,Horror,
The Unwanted,2014-03-31,Drama,
The Wall,1983-01-01,,
Another Way,1982-05-01,Drama,
The Legend of Bhagat Singh,2002-06-07,Drama,
Stranded,2015-06-05,Drama,
Gone Too Far!,2014-10-10,Comedy,
Sawney: Flesh of Man,2012-08-22,Horror,
Inbred,2011-09-30,Comedy,
Chemerical,2009-11-04,Documentary,
For Lovers Only,2011-07-12,Drama,
Heleno,2012-03-29,Drama,
Maidan,2014-05-21,Documentary,
Zhit,2010-11-03,Action,
Snowman's Land,2010-09-19,Thriller,
The Heineken Kidnapping,2011-10-27,Thriller,
The Pink Floyd and Syd Barrett Story,2003-03-24,Documentary,
Rudolph's Shiny New Year,1976-12-10,Animation,
Beltracchi - The Art of the Forgery,2014-03-06,Crime,
Ghost in the Shell: The New Movie,2015-06-20,Science Fiction,
"Christmas, Again",2014-08-13,,
Archipelago,2010-10-22,Drama,
Locust,2014-06-25,Crime,
Little Thirteen,2012-07-04,Drama,
Totally True Love,2011-02-25,Drama,
Extraction,2015-12-18,Action,
Whiffs,1975-10-15,Crime,
Fencing,1892-01-01,,
Nunca en horas de clase,1978-11-03,Comedy,
World of Tomorrow,2015-03-31,Animation,
Night #1,2011-10-12,Drama,
Dinosaur Island,1994-03-23,Adventure,
Zoolander 2,2016-02-06,Comedy,
Johan Falk: The Outlaws,2009-11-04,Action,
Johan Falk: Operation Näktergal,2009-11-03,Action,
The Pyramid,2007-01-01,Thriller,
View From A Blue Moon,2015-11-11,Documentary,
Anuvahood,2011-03-18,Comedy,
Shadey,1985-05-31,Comedy,
Tarzan in Manhattan,1989-04-15,TV Movie,
Young Love,2001-08-30,Drama,
Die Akte Golgatha,2010-06-29,Adventure,
Love at the Thanksgiving Day Parade,2012-11-04,Romance,
Gangsta Granny,2013-12-26,TV Movie,
Innocent Killers,2015-03-10,Crime,
The Legend of Barney Thomson,2015-07-24,Comedy,
Mississippi Damned,2009-01-16,,
Ice Spiders,2007-01-01,Horror,
Unbranded,2015-04-25,Documentary,
The Lion Guard: Return of the Roar,2015-11-22,TV Movie,
The Samurai That Night,2012-11-17,Drama,
After School,2008-05-24,,
"Justice, My Foot!",1992-01-01,Comedy,
Fight Back to School,1991-12-31,Action,
His Name was King,1971-05-18,Western,
The Lily of Belgium,1915-10-10,Fantasy,
The Kindergarten Teacher,2014-04-19,Drama,
A Fighter's Blues,2000-11-21,Drama,
72 Tenants of Prosperity,2010-02-11,Comedy,
Vampire Circus,1972-04-30,Horror,
Hitting the Apex,2015-09-02,Documentary,
How to Be Single,2016-01-21,Comedy,
Huge,2010-06-18,,
Winning Dad,2015-10-18,,
Wir sind die Neuen,2014-07-17,Comedy,
Memories of the Sword,2015-08-13,History,
Encounters,2015-10-30,Science Fiction,
Anguish,2015-07-21,Horror,
Doctor Mordrid,1992-11-02,Fantasy,
Winning: The Racing Life of Paul Newman,2015-05-08,Documentary,
Marvel Super Hero Adventures: Frost Fight!,2015-12-15,Animation,
Blue Exorcist: The Movie,2012-12-28,Animation,
Finders Keepers,2015-06-22,Documentary,
Devil Dog: The Hound of Hell,1978-10-31,Horror,
The Propaganda Game,2015-10-03,Documentary,
Darkness on the Edge of Town,2015-01-25,Thriller,
Two Step,2015-07-31,Thriller,
Assassins Run,2013-04-22,Action,
Bolshoi Babylon,2015-01-01,Documentary,
Bowery Buckaroos,1947-11-22,Comedy,
He Never Died,2015-03-17,Thriller,
Night Into Morning,1951-06-08,Romance,
Shutter,2013-02-22,Thriller,
Steelyard Blues,1973-01-31,Drama,
The Assassin,1961-03-27,Crime,
10+10,2011-04-01,,
"The Green, Green Grass of Home",1982-01-01,Comedy,
Cheerful Wind,1981-01-01,Drama,
Cute Girl,1980-01-01,Drama,
The Battle Wizard,1977-09-09,Action,
The Black Marble,1980-03-07,Comedy,
The Last Fall,2012-03-09,Drama,
Troublemakers,1994-11-25,Western,
The Perfect Weapon,1991-03-15,Action,
A Fare to Remember,1999-03-11,Drama,
OzLand,2015-02-08,Science Fiction,
Another World,2014-09-14,Action,
Found in Time,2012-10-05,,
Raggedy Ann & Andy: A Musical Adventure,1977-04-01,Music,
The Christmas Carol,1949-12-25,Fantasy,
The Testaments,2000-03-24,Drama,
Samurai Cop 2: Deadly Vengeance,2015-10-09,Action,
Eskil & Trinidad,2013-03-29,Drama,
Fraternity Row,1977-06-03,Drama,
Sunshine Follows Rain,1946-12-26,Drama,
Elves,1989-01-01,Horror,
Murder in the Dark,2013-08-09,Horror,
The Priests,2015-11-05,Crime,
The Accidental Detective,2015-09-24,Comedy,
The Cat Vanishes,2011-04-21,Drama,
The Thin Yellow Line,2015-03-06,Drama,
The Masters of Suspense,2014-12-19,Comedy,
Hands off Mississippi,2007-03-22,Family,
The Runway,2010-07-10,Drama,
A Town Without Christmas,2001-12-16,Family,
The Gnome,2005-03-17,,
The Zohar Secret,2015-01-01,Comedy,
Raw Force,1982-07-01,Action,
I Made a Splash,1980-10-30,,
Parasyte: Part 1,2014-11-29,Science Fiction,
Parasyte: Part 2,2015-04-25,Science Fiction,
Dark Awakening,2014-09-10,Horror,
Halfweg,2014-02-26,Comedy,
Mr. Miracle,2014-12-06,Drama,
Uuno Turhapuro – This Is My Life,2004-09-10,Comedy,
Uuno Turhapuro - pisnismies,1998-08-28,,
Tupla-Uuno,1988-08-26,,
Uuno Turhapuro – kaksoisagentti,1987-08-28,Comedy,
Uuno Turhapuro muuttaa maalle,1986-08-29,Comedy,
Uuno Turhapuron muisti palailee pätkittäin,1983-09-30,Comedy,
Uuno Turhapuro menettää muistinsa,1982-09-17,Comedy,
Uuno Turhapuron Aviokriisi,1981-10-16,Comedy,
Tup-akka-lakko,1980-11-26,Comedy,
The Test-tube Adult and Simo's Angels,1979-10-12,Comedy,
"Rautakauppias Uuno Turhapuro, presidentin vävy",1978-08-25,,
Häpy Endkö? Eli kuinka Uuno Turhapuro sai niin kauniin ja rikkaan vaimon,1977-08-26,Comedy,
Lottovoittaja UKK Turhapuro,1976-08-27,Comedy,
Professori Uuno D.G. Turhapuro,1975-08-29,Comedy,
Talvivaaran miehet,2015-01-27,,
Stealing Christmas,2003-11-30,Comedy,
Fifty Shades of Black,2016-01-28,Romance,
"Totò, Peppino e i fuorilegge",1956-12-21,Comedy,
Pensavo fosse amore invece era un calesse,1991-12-20,Comedy,
The Band of Honest Men,1956-04-12,Comedy,
"Totò, lascia o raddoppia?",1956-01-01,Comedy,
O.S.S.,1946-05-26,Drama,
Mr. Peabody and the Mermaid,1948-08-11,Comedy,
Temptation,1946-12-02,Drama,
The Pied Piper,1942-08-21,,
The Man I Married,1940-08-09,Drama,
Unlocking the Cage,2016-01-25,Documentary,
1 P.M.,1972-02-10,Documentary,
Jimi Plays Monterey,1986-10-23,Music,
Depeche Mode: 101,1989-04-27,Music,
The Return of the War Room,2008-10-13,Documentary,
Elaine Stritch: At Liberty,2002-01-01,Comedy,
Depeche Mode: The Videos 86-98,1998-01-01,Music,
David Bowie: Best Of Bowie,2002-06-30,Music,
Assume the Position with Mr. Wuhl,2007-10-09,Comedy,
Successful Alcoholics,2010-01-22,Comedy,
The Pee-wee Herman Show,1981-01-01,Comedy,
The Broken Tower,2012-04-27,Drama,
Dreamkeeper,2003-12-28,Fantasy,
A Cosmic Christmas,1977-12-04,Science Fiction,
The Monster of Mangatiti,2015-09-06,Drama,
Nocturnal Animals,2016-11-04,Drama,
A Tale of Two Thieves,2014-04-12,Documentary,
Tyke Elephant Outlaw,2015-06-04,Documentary,
A Syrian Love Story,2015-06-09,Documentary,
The Pardon,2013-03-22,Crime,
Pete's Christmas,2013-11-16,Fantasy,
Homeland (Iraq Year Zero),2016-02-10,Documentary,
Unnatural,2015-10-16,Thriller,
Lumberjack Man,2015-10-16,Horror,
Daddy's Home,2015-12-25,Comedy,
Sisters,2015-12-18,Comedy,
Homemade Hillbilly Jam,2005-04-25,Documentary,
Pleasure Factory,2007-10-18,Drama,
The Christmas Secret,2014-11-23,Romance,
Just in Time for Christmas,2015-12-05,Family,
A Christmas Detour,2015-12-01,Comedy,
Angel of Christmas,2015-11-29,Family,
Once Upon A Holiday,2015-11-25,Family,
"Murder, She Baked: A Chocolate Chip Cookie Mystery",2015-05-02,TV Movie,
Night Of The Living Deb,2015-08-29,Comedy,
"Murder, She Baked: A Plum Pudding Murder Mystery",2015-11-15,TV Movie,
'Tis the Season for Love,2015-11-01,Romance,
Ice Sculpture Christmas,2015-11-07,Romance,
Charming Christmas,2015-11-08,Romance,
I'm Not Ready for Christmas,2015-11-14,Family,
Merry Matrimony,2015-11-22,Romance,
Christmas Incorporated,2015-11-15,Drama,
12 Gifts of Christmas,2015-11-26,Family,
Crown for Christmas,2015-11-27,Romance,
The Bridge,2015-12-06,Drama,
On the Twelfth Day of Christmas,2015-12-12,Romance,
A Christmas Melody,2015-12-19,Romance,
Santa and the Ice Cream Bunny,1972-01-01,Fantasy,
Amor Impossível,2015-12-24,Drama,
Kung Fu Panda 3,2016-01-23,Action,
Mobile Suit Gundam F91,1991-03-16,Animation,
Mobile Suit Gundam: Char's Counterattack,1988-03-12,Animation,
Legend of the Galactic Heroes: My Conquest Is the Sea of Stars,1988-02-06,Animation,
Naoko,2008-12-16,Drama,
Everybody Has Secrets,2004-07-30,Comedy,
The Black Panthers: Vanguard of the Revolution,2015-01-23,Documentary,
Midnight Sun,2006-06-17,Drama,
Sweet Lies,2008-12-17,Comedy,
The Hooligan Factory,2014-06-13,Comedy,
"Josee, the Tiger and the Fish",2003-12-13,,
Memoirs of a Teenage Amnesiac,2010-03-27,Drama,
About Love,2005-04-12,Romance,
The Slanted Screen,2006-01-03,Documentary,
Tokyo Girl,2008-02-23,,
Honey and Clover,2006-07-22,Drama,
Finding Mr. Destiny,2010-12-08,Family,
Villain,2010-09-11,Drama,
The Harmonium in My Memory,1999-03-27,Romance,
Petty Romance,2010-08-10,Comedy,
Young Black Jack,2011-04-23,Thriller,
Very Young Girls,2007-09-11,Documentary,
Way of Blue Sky,2005-09-17,Drama,
Ghost,2010-11-13,Mystery,
Rainbow Eyes,2007-12-27,Thriller,
4th Period Mystery,2009-08-12,Horror,
Tomorrow's Joe,2011-02-11,Action,
LoveHotels,2006-06-03,,
The Seaside Motel,2010-06-05,Comedy,
Yuriko's Aroma,2010-05-08,,
Blowfish,2011-08-05,Romance,
"Love, Pain and Vice Versa",2008-02-10,Thriller,
"Turn Left, Turn Right",2003-08-11,Romance,
He's Mine Not Yours,2011-12-06,Comedy,
Rules of Dating,2005-06-10,,
Walking Vengeance,2008-10-31,Crime,
Waiting for Good News,2009-02-28,Drama,
Diary of June,2005-12-01,Thriller,
All About My Wife,2012-05-17,Comedy,
A Perfect Christmas List,2014-12-14,Comedy,
Christmas Town,2008-12-09,Fantasy,
Waiting in the Dark,2006-09-05,Drama,
Love in Disguise,2010-08-12,Romance,
Black Kiss,2004-10-01,Crime,
Code Name: Jackal,2012-11-15,Action,
Perfect Number,2012-10-18,Drama,
Whatcha Wearin'?,2012-12-05,Romance,
Akko's Secret,2012-08-31,Comedy,
Dorfman,2011-10-20,Comedy,
Spellbound,2011-12-01,Horror,
Twinkle,1992-10-24,Comedy,
One Night Surprise,2013-08-08,Comedy,
A Christmas Kiss II,2014-12-13,TV Movie,
Quatre étoiles,2005-01-01,Comedy,
The Substitute Husband,1936-12-20,Comedy,
The Sweet Escape,2015-06-10,Comedy,
R.O.T.O.R.,1987-10-01,Thriller,
Alligator 2 - The Mutation,1991-12-18,Horror,
Flying,1986-05-14,Drama,
Dick Tracy Meets Gruesome,1947-09-26,Action,
Marco Polo: One Hundred Eyes,2015-12-26,Action,
A Brave Heart: The Lizzie Velasquez Story,2015-03-14,Documentary,
Pizza,2005-05-27,Comedy,
Three Bewildered People in the Night,1987-08-11,,
The Doe Boy,2001-01-25,Drama,
"Nestor, the Long-Eared Christmas Donkey",1977-12-03,Animation,
Act Like You Love Me,2013-08-06,Comedy,
Gone Fishing,2012-12-26,Drama,
Krisha,2016-03-18,Comedy,
All My Sons,1948-05-01,Drama,
Ask a Policeman,1939-04-29,Comedy,
The Bachelor Father,1931-01-10,Comedy,
The Bohemian Girl,1936-02-14,Comedy,
Pimpernel Smith,1941-07-26,Adventure,
Tom Brown's School Days,1940-07-19,Drama,
Unicorn City,2012-02-24,Comedy,
The End of a Great Era,2015-10-01,Comedy,
Under the Hawthorn Tree,2010-09-15,Drama,
A.R.O.G.,2008-12-03,Comedy,
Rudolph and Frosty's Christmas in July,1979-07-01,Animation,
Mistletoe Over Manhattan,2011-11-06,TV Movie,
A Cookie Cutter Christmas,2014-11-09,Comedy,
Window Wonderland,2013-11-23,Romance,
The Unauthorized Full House Story,2015-08-22,Drama,
La Novia,2015-12-11,Drama,
When Santa Fell to Earth,2011-11-23,Comedy,
The PHD Movie 2,2015-12-23,Comedy,
Standoff,2016-01-04,Drama,
My Lucky Star,2013-09-17,Comedy,
A Matter of Faith,2014-10-17,Drama,
Sorry I Love You,2013-11-01,Romance,
Video Girl,2011-10-11,Drama,
Love for Sale,2008-02-09,Comedy,
Te presento a Laura,2010-10-29,Romance,
The Coalition,2013-02-04,Drama,
Bajirao Mastani,2015-12-18,War,
Chrysalis,2014-04-24,Drama,
Hot Summer in Barefoot County,1974-07-01,Comedy,
Swelter,2014-04-20,Action,
Worlds Apart,2015-12-17,Romance,
Manuscripts Don't Burn,2013-05-24,Crime,
The Colossus of Rhodes,1961-06-16,History,
Feng Shui,2004-09-18,Drama,
We Accept Miracles,2015-01-02,Comedy,
Soap Opera,2014-10-23,Comedy,
Cold Deck,2015-12-04,Drama,
Maddalena... zero in condotta,1940-12-18,,
Teresa Venerdì,1941-01-01,Romance,
A Garibaldian in the Convent,1942-03-10,Drama,
The Gate of Heaven,1945-02-16,Drama,
The Roof,1956-09-29,Drama,
The Condemned of Altona,1962-10-30,History,
Steve McQueen: The Man & Le Mans,2015-05-16,Documentary,
Beyond the Blackboard,2011-04-24,Family,
Tired Moonlight,2015-01-22,,
Magnificent Doll,1946-12-08,Drama,
Childhood's End,2015-12-14,Thriller,
"Arabian Nights: Volume 1, The Restless One",2015-06-24,Drama,
The Ditch,2010-09-06,Drama,
Three Sisters,2012-11-21,Documentary,
Boruto: Naruto the Movie,2015-08-07,Action,
Cold Blood,1975-07-18,Thriller,
The Mend,2014-03-09,Comedy,
Headless,2015-02-28,Horror,
The Beatniks,1960-01-01,Drama,
Little Lips,1978-02-08,Drama,
Namastey London,2007-03-27,Drama,
Conspiracy of Silence,1991-01-01,,
3-Headed Shark Attack,2015-07-20,Science Fiction,
Jan Dara,2001-09-28,Romance,
H3 - Halloween Horror Hostel,2008-03-18,Comedy,
Mr. Six,2015-09-16,Crime,
The Stone Tape,1972-01-31,Science Fiction,
Whistle and I'll Come to You,1968-05-07,,
Jean Charles,2009-06-26,Drama,
So Hard to Forget,2010-10-15,Drama,
Oh My God!,2007-03-30,Music,
Estamos Juntos,2011-06-03,Drama,
Natimorto,2011-04-29,Drama,
The Famous and the Dead,2009-09-25,Drama,
Manhunt,1976-02-11,Action,
Barking at the Stars,1998-06-01,Action,
It's Now or Never,2015-06-19,Comedy,
Comforting Skin,2011-10-10,Thriller,
S: The Last Policeman: Recovery of Our Future,2015-08-29,Drama,
Naughty or Nice,2012-12-24,TV Movie,
A Perfect Ending,2012-06-01,Drama,
Asian School Girls,2014-04-15,Action,
The Last: Naruto the Movie,2014-12-06,Action,
Thou Shalt Laugh 3,2008-11-04,Comedy,
Thou Shalt Laugh,2006-11-07,Comedy,
Thou Shalt Laugh 2 - The Deuce,2007-11-07,Comedy,
Senn,2013-02-19,Science Fiction,
Pink Floyd: Behind the Wall,2005-01-01,Documentary,
The Daughter of Dawn,1920-10-01,Western,
Nintendo Quest,2015-06-26,Documentary,
"Rabin, the Last Day",2015-11-04,Thriller,
Le Grand partage,2015-12-23,Comedy,
The Alchemist's Letter,2015-04-21,Family,
Shadows on the Wall,2014-12-10,Horror,
Bethune: The Making of a Hero,1993-09-17,Romance,
Saving Mr. Wu,2015-09-30,Thriller,
100 Days with Mr. Arrogant,2004-01-16,Comedy,
The Art of Seduction,2005-12-21,Romance,
Aurore,2005-07-08,Drama,
Bakit Hindi Ka Crush Ng Crush Mo?,2013-08-14,Comedy,
We Were Here: Part 1,2012-03-17,,
We Were Here: Part 2,2012-04-21,,
Bride for Rent,2014-01-15,Romance,
Buddha Mountain,2010-10-24,Drama,
Cannonball Wedlock,2011-04-01,Comedy,
Love Now,2007-08-15,Romance,
Altergeist,2014-08-25,Thriller,
Closed Note,2007-09-09,Romance,
Crazy,2000-06-07,Comedy,
Crazy Waiting,2008-01-01,Comedy,
Cyrano Agency,2010-09-16,Romance,
Drop,2009-03-20,Action,
I Just Wanna Hug You,2014-02-01,Drama,
Eungyo,2012-04-25,Drama,
Five Senses of Eros,2009-07-09,Drama,
Cheer Cheer Cheer!,2008-10-11,Comedy,
Girlfriend Boyfriend,2012-08-03,Drama,
Goth,2008-12-20,Horror,
Gravity's Clowns,2009-05-23,Drama,
Hot Young Bloods,2014-01-22,Romance,
Parade,2010-02-20,Drama,
F.C. De Kampioenen: Kampioen zijn blijft plezant,2013-12-17,Comedy,
Max,1994-01-01,,
Seven Songs from the Tundra,2000-02-18,,
The Work of Director Spike Jonze,2003-10-20,Documentary,
Amarillo By Morning,1998-01-16,Documentary,
Secret Society of Souptown,2015-05-15,Mystery,
The Unseen,1980-09-01,Horror,
Pride and Prejudice and Zombies,2016-02-04,Romance,
Twelve Mile Road,2003-09-28,Drama,
When Harry Tries to Marry,2011-04-22,Comedy,
500 MPH Storm,2013-02-28,Action,
Angels' Alley,1948-03-07,Drama,
,,TV Movie,
,1900-01-22,Odyssey Media,
Blockade,1938-06-17,War,
Blockade,2005-11-07,Documentary,
Blood and Sand,1922-08-05,Drama,
Central Airport,1933-04-15,Drama,
Chandu on the Magic Island,1935-01-01,Fantasy,
Cinderella,1957-03-31,Drama,
Aschenputtel,2010-12-24,Fantasy,
Cinderella,2000-01-01,,
Cowboys vs. Dinosaurs,2015-05-19,Science Fiction,
Don't Bet on Women,1931-02-15,Comedy,
Garm Wars: The Last Druid,2014-10-24,Action,
In Old Santa Fe,1934-11-15,Comedy,
Johnny Reno,1966-03-09,Action,
Never Fear,1949-12-29,Drama,
Forgotten,2014-07-31,Drama,
Public Enemies,2012-01-03,Drama,
Public Enemies,1996-04-19,Drama,
Super Shark,2011-12-08,Science Fiction,
The Club,1980-09-18,Drama,
The Liquidator,1965-01-01,Comedy,
The Phantom Fiend,1932-09-08,Action,
S&M Judge,2009-03-11,Drama,
Girl,2002-09-01,Drama,
The Invader,2011-11-23,Drama,
Love Belongs to Everyone,2006-02-08,,
Mixed Kebab,2012-02-29,Drama,
Dossier K.,2009-12-09,Action,
Unspoken,2008-10-08,Drama,
Blind,2007-02-08,Drama,
Suspect,2005-11-16,Drama,
Left Bank,2008-03-26,Drama,
Wait until spring Bandini,1989-11-01,Drama,
Crazy About Ya,2010-10-20,Romance,
Sister Smile,2009-04-29,Drama,
Smoorverliefd,2010-12-08,,
"Allez, Eddy!",2012-03-28,,
Suite 16,1994-11-24,Thriller,
Bo,2010-02-10,Drama,
Oxygen,2010-09-08,Drama,
De Hel Van Tanger,2006-03-15,Drama,
Brasserie Romance,2012-12-18,Comedy,
Verlengd Weekend,2005-10-12,Comedy,
Vrijdag,1981-03-07,,
Groenten uit Balen,2011-12-14,Drama,
Frits and Freddy,2010-12-08,Comedy,
The Ball,1999-10-14,Family,
De Indringer,2005-03-16,Horror,
Ad Fundum,1993-01-01,Drama,
Stormforce,2006-01-01,Drama,
My Queen Karo,2009-10-28,Drama,
Code 37,2011-10-26,Drama,
Science Fiction,2002-09-28,Adventure,
The Kiss,2004-11-17,Drama,
Little Black Spiders,2012-09-19,Drama,
Buitenspel,2005-12-21,Drama,
A perfect match,2007-08-08,Comedy,
Dirty Mind,2009-01-28,Comedy,
Kid,2013-01-16,Drama,
Turquaze,2010-09-29,Drama,
The Man Who Had His Hair Cut Short,1966-09-05,Drama,
Frits and Franky,2013-02-04,Comedy,
Doctor Vlimmen,1977-02-23,Drama,
Eline Vere,1991-03-01,Drama,
Gaston's War,1997-10-23,War,
Vallen,2001-10-24,,
Blinker,1999-01-01,Family,
Swooni,2011-08-24,,
Lost Persons Area,2009-05-16,Drama,
Mariken,2000-12-07,Drama,
De Leeuw van Vlaanderen,1985-03-14,History,
Cut Loose,2008-09-17,,
Everything Must Go,1996-12-04,Comedy,
Bingo,2013-03-26,Comedy,
K3 en het IJsprinsesje,2006-07-19,Family,
De Vlaschaard,1983-07-01,Drama,
The World in His Arms,1952-10-09,Adventure,
See You in Montevideo,2014-01-15,Adventure,
Monsieur Taxi,1952-09-03,Comedy,
OSS 117: Mission for a Killer,1965-07-02,Action,
"Taxi, Trailer and Bullfight",1958-11-22,Comedy,
Noah,2013-09-09,Drama,
La Rabbia Di Pasolini,2008-09-05,,
12 Dicembre,1972-01-01,Documentary,
Slime City,1988-05-13,Horror,
The Pig Farm,2011-01-01,Documentary,
Proof of the Devil,2015-02-10,Horror,
Quo vado?,2016-01-01,Comedy,
The October Man,1947-08-28,Drama,
Morning Departure,1950-02-21,Drama,
Night Without Sleep,1952-09-26,Thriller,
Tiger in the Smoke,1956-11-27,Crime,
The Fiction Makers,1968-12-08,,
Windbag the Sailor,1936-12-01,Comedy,
"Inner Worlds, Outer Worlds",2012-12-19,Documentary,
Cool Cat Saves the Kids,2015-02-01,Action,
Bad Hair Day,2015-02-13,TV Movie,
Frenemies,2012-01-13,Drama,
How to Build a Better Boy,2014-08-17,Family,
Water and Fire,2013-11-15,Drama,
Baby and Me,2008-08-13,,
Araf/Somewhere in Between,2012-09-21,Drama,
Kept Woman,2015-02-28,Thriller,
Halam Geldi,2014-01-15,Drama,
The Oregonian,2011-01-24,Horror,
Cute and Dangerous,2015-02-06,Romance,
The Rambler,2013-01-21,Comedy,
The Devil's Candy,2017-03-17,Horror,
The Son of an Afghan Farmer,2012-01-06,Romance,
Jane Got a Gun,2016-01-01,Action,
More Than Blue,2009-03-11,Drama,
Megamind: The Button Of Doom,2011-02-25,Animation,
Die Mondverschwörung,2011-04-21,Documentary,
Peggy Guggenheim: Art Addict,2015-11-06,Documentary,
Dilwale,2015-12-18,Crime,
Woodlawn,2015-10-15,Drama,
Captive,2015-09-17,Crime,
Shark Lake,2015-10-02,Thriller,
Riot,2015-09-27,Action,
Hell & Back,2015-10-02,Fantasy,
Plague,2014-10-30,Drama,
"White Out, Black In",2014-09-20,Science Fiction,
Everyday,2012-11-15,Drama,
Dolly Dearest,1991-11-25,Horror,
Blue and Not So Pink,2012-11-27,Foreign,
The Forest,2016-01-07,Horror,
Guzaarish,2010-11-18,Drama,
Sadece Sen,2014-03-14,Romance,
Evim Sensin,2012-11-02,Fantasy,
Love On-Air,2012-01-05,Drama,
Four Boys and a Gun,1957-01-01,Drama,
The Mugger,1958-11-01,Drama,
I Passed for White,1960-03-18,Drama,
Sleepless,2001-01-05,Crime,
Me and Kaminski,2015-09-17,Comedy,
Do Not Disturb,2012-10-03,Comedy,
Raavan,2010-06-18,Action,
Paa,2009-12-04,Drama,
The Cheetah Girls: One World,2008-08-22,Comedy,
Rowdy Rathore,2012-06-01,Action,
Nowhere Safe,2014-10-05,TV Movie,
Aşk Kırmızı,2013-03-15,Drama,
Khoobsurat,2014-09-19,Comedy,
Wazir,2016-01-07,Thriller,
Bang Bang!,2014-10-02,Action,
Approaching the Elephant,2015-02-20,Documentary,
Warlords of Atlantis,1978-05-01,Adventure,
The House Where Evil Dwells,1982-05-14,Horror,
Love Forecast,2015-01-15,Comedy,
Girl vs. Monster,2012-10-12,Comedy,
The Rage of Paris,1938-06-09,Comedy,
Coicent,2011-02-25,,
Mr. Kaplan,2014-11-21,Drama,
La Rizière,2012-05-02,,
The Lesson,2014-09-04,Drama,
Love Me,2014-04-06,Documentary,
The Boy Who Saw the Wind,2000-07-22,Adventure,
Of Love and Other Demons,2009-03-26,Drama,
The Dog of Flanders,1997-03-15,Animation,
"Fuse, Memoirs of the Hunter Girl",2012-10-20,Action,
Great Expectations,1999-05-09,Drama,
Legend of the Millennium Dragon,2011-01-01,Adventure,
Lines of Wellington,2012-10-13,Drama,
The Mystery of Sintra,2007-05-03,Mystery,
Miyori's Forest,2007-08-25,Drama,
Princess Arete,2001-08-01,Adventure,
Pixadores,2014-02-01,Documentary,
Chronicle of a Blood Merchant,2015-01-14,Romance,
Assassination Classroom,2015-03-21,Action,
The Partisans,1963-02-21,War,
Cha Cha Cha,1989-01-20,,
Close Range,2015-12-11,Action,
The Great Manhunt,1950-09-11,Thriller,
Little Mother,1973-01-05,,
Zeppelin,1971-10-06,War,
Man on Horseback,1969-06-07,,
Lana: Queen of the Amazons,1964-11-10,Adventure,
Lady of Vengeance,1957-08-01,Drama,
I Am a Camera,1955-07-21,Drama,
The Colditz Story,1955-01-25,War,
Operation Diplomat,1953-12-01,Drama,
Tusk,1980-03-01,,
Vanessa,1977-03-10,Drama,
Blood on the Streets,1974-10-23,Action,
The Battle of Sutjeska,1973-07-31,War,
Unrelated,2007-10-18,Drama,
Prescription: Murder,1968-02-20,,
The Aviators,2009-06-19,Animation,
Diablo,2016-01-08,Action,
Felt,2014-09-18,Drama,
Lava Kusa-The Warrior Twins,2010-10-08,Animation,
The Entity,2015-01-22,Horror,
Africa United,2010-10-22,Drama,
Kung Fu Zombie,1981-10-01,Action,
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008-02-01,Documentary,
The Love Bug,1997-11-29,Fantasy,
Morning Light,2008-03-12,Documentary,
AWOL-72,2015-08-07,Thriller,
Vampirella,1996-09-28,Horror,
The Deathhead Virgin,1974-01-01,Horror,
I Like to Hurt People,1985-06-01,Comedy,
Un fantastico via vai,2013-12-12,Comedy,
2 Autumns 3 Winters,2013-10-11,Drama,
